"","PDescription","TPM_Basal"
"1","H/ACA ribonucleoprotein complex subunit 3, putative",820.37
"2","Endonuclease/Exonuclease/phosphatase family protein",24.72
"3","Myotubularin, putative",6.32
"4","pentatricopeptide repeat domain containing protein",14.5
"5","hypothetical protein",45.71
"6","eukaryotic translation initiation factor 4E family",50.26
"7","hypothetical protein",1.73
"8","K+ channel tetramerisation subfamily protein",21.11
"9","hypothetical protein",23.08
"10","hypothetical protein",90.6
"11","hypothetical protein",39.82
"12","hypothetical protein",5.3
"13","guanine exchange factor for rac 30, putative",14.56
"14","MYC binding protein 2, putative",8.88
"15","glyoxalase family protein",2.64
"16","hypothetical protein",79.05
"17","hypothetical protein",1.81
"18","TBC domaincontaining protein",7.74
"19","hypothetical protein",4.4
"20","fucose1-phosphate guanylyltransferase",9.55
"21","hypothetical protein",3.56
"22","hypothetical protein",11.57
"23","ATP:cob(I)alamin adenosyltransferase",77.93
"24","FAD linked oxidase",15.5
"25","FAD binding domain containing protein",7.21
"26","Dgalactarate dehydratase/Altronate hydrolase-like protein",0.47
"27","hypothetical protein",57.35
"28","histone cluster 1, H2bb, putative",85.56
"29","hypothetical protein",3.54
"30","aldoketo reductase family 7, member A3 isoform 2, putative",1
"31","hypothetical protein",0.04
"32","cytochrome b-like heme/steroid binding domain containing protein",1.31
"33","pyruvate carboxylase",252.79
"34","hypothetical protein",0.56
"35","Fbox domain containing protein",39.31
"36","UDPGal:betaGal beta 1,3-galactosyltransferase polypeptide 6, putative",76.89
"37","Miro family protein",24.54
"38","Fbox domain containing protein",2.91
"39","hypothetical protein",5.52
"40","Fbox domain containing protein",2.24
"41","hypothetical protein",5.12
"42","hypothetical protein",2.14
"43","threonine/alanine tRNA ligase subfamily protein",64.68
"44","hypothetical protein",103.41
"45","hypothetical protein",228.27
"46","hypothetical protein",718.22
"47","Fbox domain containing protein",26.54
"48","hypothetical protein",1.94
"49","kinesin motor domain containing protein",20.2
"50","Fbox domain containing protein",21.32
"51","Membrane protein, putative",28.48
"52","Fbox domain containing protein",50.79
"53","RNA recognition motif domain containing protein",10.15
"54","UBA/TSN domain containing protein",3.9
"55","hypothetical protein",0.01
"56","Acetylcholinesterase",29.89
"57","Serine/threonine kinase",11.04
"58","hypothetical protein",0.1
"59","EXS family protein",1.4
"60","hypothetical protein",0.96
"61","hypothetical protein",3.23
"62","SAP domain containing protein",0.99
"63","Fbox domain containing protein",20.6
"64","serine-protein kinase ATR family protein",13.49
"65","hypothetical protein",11.76
"66","Fbox domain containing protein",1.16
"67","hypothetical protein",2.54
"68","hypothetical protein",0.75
"69","SET domain containing protein",0.29
"70","saccharopine dehydrogenase",64.42
"71","Actinrelated protein 5, putative",0.57
"72","hypothetical protein",15.44
"73","pre-mRNA-splicing factor prp1, putative",1.71
"74","hypothetical protein",1.86
"75","hypothetical protein",4.8
"76","Serine/threonine kinase",3.74
"77","hypothetical protein",1.11
"78","DNA replication licensing factor Mcm2, putative",0.45
"79","DEAD/DEAH box helicase",16.67
"80","Protein kinase",0.01
"81","Ser/Thr phosphatase, putative",5.57
"82","hypothetical protein",11.02
"83","hypothetical protein",2.94
"84","hypothetical protein",19.91
"85","asparagine-linked glycosylase, putative",4.33
"86","AIG2 family protein",21.16
"87","Ankyrin repeat containing protein",14.63
"88","Tyrosine kinase, putative",25.74
"89","BTB/POZ domain containing protein",3.3
"90","PH domain containing protein",49.89
"91","hypothetical protein",0.1
"92","amino acid transporter family protein",9.67
"93","Multicopper oxidase, type 2",1.5
"94","hypothetical protein",23.25
"95","hypothetical protein",3.11
"96","hypothetical protein",80.16
"97","FADdependent monooxygenase",3.54
"98","NOL1/NOP2/sun domain containing protein",8.22
"99","RNA polymerase II subunit A Cterminal domain phosphatase SSU72, putative",15.75
"100","Serine/threonine kinase",0.91
"101","hypothetical protein",13.98
"102","hypothetical protein",0.5
"103","Fbox protein 27, putative",47.26
"104","dimethyladenosine transferase 1, mitochondrial",49.91
"105","arginine deiminase",10.86
"106","hypothetical protein",3.15
"107","hypothetical protein",14.59
