"","GeneId","Descripcion","Ctrl0hr","Ctrl1hr","Encyst1hr","Ctrl4hr","Encyst4hr","Ctrl8hr","Encyst8hr"
"ACA1_000210","ACA1_000210","H/ACA ribonucleoprotein complex subunit 3, putative",287.53,344.85,29.08,394.18,17.62,419.03,18.03
"ACA1_000540","ACA1_000540","hypothetical protein",43.11,41.6,37.23,40.9,40.65,44.78,34.09
"ACA1_000840","ACA1_000840","hypothetical protein",95.88,93.45,94.13,94.74,76.24,93.69,88.22
"ACA1_001510","ACA1_001510","hypothetical protein",56.64,46.33,75.38,38.67,100.33,37.16,106.55
"ACA1_001520","ACA1_001520","ATP:cob(I)alamin adenosyltransferase",121.56,98.45,72.37,100.86,99.36,90.54,87.84
"ACA1_001870","ACA1_001870","histone cluster 1, H2bb, putative",215.37,165.3,169.74,181.75,170.67,175.85,140.1
"ACA1_002300","ACA1_002300","pyruvate carboxylase",103.11,73.97,121.38,101.4,24.25,111.1,12.45
"ACA1_002330","ACA1_002330","UDPGal:betaGal beta 1,3-galactosyltransferase polypeptide 6, putative",60.04,55.96,45.69,68.46,67.34,73.62,97.21
"ACA1_002430","ACA1_002430","Miro family protein",74.65,53.11,12.99,45.34,97.36,55.75,145.92
"ACA1_002490","ACA1_002490","threonine/alanine tRNA ligase subfamily protein",71.19,70.32,22.66,74.74,25.55,71.38,19.89
"ACA1_002500","ACA1_002500","hypothetical protein",152.5,134.59,108.13,130.37,166.81,122.74,167.03
"ACA1_002610","ACA1_002610","hypothetical protein",82.6,70.91,316.48,30.12,636.24,45.44,965.96
"ACA1_003110","ACA1_003110","Acetylcholinesterase",70.03,233.22,84.29,123.11,16.86,129.1,17.99
"ACA1_003650","ACA1_003650","EXS family protein",47.57,36.36,23.05,35.64,9.73,39.03,9.22
"ACA1_004750","ACA1_004750","saccharopine dehydrogenase",104.67,117.73,91.76,175.8,51.87,181.65,18.35
"ACA1_004860","ACA1_004860","hypothetical protein",39.76,34.13,31.64,33.81,54.33,30.35,72.14
"ACA1_006110","ACA1_006110","AIG2 family protein",57.71,78.33,18.83,63.66,31.41,60.31,43.22
"ACA1_006150","ACA1_006150","PH domain containing protein",77.78,63.08,190.65,54.7,421.74,63.96,526.06
"ACA1_006210","ACA1_006210","hypothetical protein",187.31,172,346.2,203.37,281.99,126.52,256.89
"ACA1_006240","ACA1_006240","RNA polymerase II subunit A Cterminal domain phosphatase SSU72, putative",42.61,40.32,16.5,36.4,16.69,36.34,17.28
