"","GeneId","Descripcion","Ctrl0hr","Encyst1hr","Encyst4hr","Encyst8hr"
"ACA1_000210","ACA1_000210","H/ACA ribonucleoprotein complex subunit 3, putative",287.53,29.08,17.62,18.03
"ACA1_000540","ACA1_000540","hypothetical protein",43.11,37.23,40.65,34.09
"ACA1_000840","ACA1_000840","hypothetical protein",95.88,94.13,76.24,88.22
"ACA1_001510","ACA1_001510","hypothetical protein",56.64,75.38,100.33,106.55
"ACA1_001520","ACA1_001520","ATP:cob(I)alamin adenosyltransferase",121.56,72.37,99.36,87.84
"ACA1_001870","ACA1_001870","histone cluster 1, H2bb, putative",215.37,169.74,170.67,140.1
"ACA1_002300","ACA1_002300","pyruvate carboxylase",103.11,121.38,24.25,12.45
"ACA1_002330","ACA1_002330","UDPGal:betaGal beta 1,3-galactosyltransferase polypeptide 6, putative",60.04,45.69,67.34,97.21
"ACA1_002430","ACA1_002430","Miro family protein",74.65,12.99,97.36,145.92
"ACA1_002490","ACA1_002490","threonine/alanine tRNA ligase subfamily protein",71.19,22.66,25.55,19.89
"ACA1_002500","ACA1_002500","hypothetical protein",152.5,108.13,166.81,167.03
"ACA1_002610","ACA1_002610","hypothetical protein",82.6,316.48,636.24,965.96
"ACA1_003110","ACA1_003110","Acetylcholinesterase",70.03,84.29,16.86,17.99
"ACA1_003650","ACA1_003650","EXS family protein",47.57,23.05,9.73,9.22
"ACA1_004750","ACA1_004750","saccharopine dehydrogenase",104.67,91.76,51.87,18.35
"ACA1_004860","ACA1_004860","hypothetical protein",39.76,31.64,54.33,72.14
"ACA1_006110","ACA1_006110","AIG2 family protein",57.71,18.83,31.41,43.22
"ACA1_006150","ACA1_006150","PH domain containing protein",77.78,190.65,421.74,526.06
"ACA1_006210","ACA1_006210","hypothetical protein",187.31,346.2,281.99,256.89
"ACA1_006240","ACA1_006240","RNA polymerase II subunit A Cterminal domain phosphatase SSU72, putative",42.61,16.5,16.69,17.28
"ACA1_007780","ACA1_007780","Vtype ATPase, G subunit",3097.74,991.35,2567.48,2810.07
"ACA1_007800","ACA1_007800","hypothetical protein",57.06,19.2,19.02,26.3
"ACA1_009160","ACA1_009160","hypothetical protein",83.2,38,36.8,60.14
"ACA1_009170","ACA1_009170","serine/threonine protein kinase",220.74,118.19,137.43,103.02
"ACA1_009280","ACA1_009280","Serine/threonineprotein kinase",158.25,91.87,111.31,75
"ACA1_009890","ACA1_009890","glucose repression mediator protein",60.33,67.43,67.62,82.92
"ACA1_009900","ACA1_009900","hypothetical protein",62.62,76.13,133.67,191.73
"ACA1_009910","ACA1_009910","glutamate-tRNA ligase",83.05,12.69,13,20.74
"ACA1_010180","ACA1_010180","DUF410 family protein",83.5,82.07,61.84,65.36
"ACA1_011040","ACA1_011040","hypothetical protein",91.73,6.24,12.37,13.09
"ACA1_011150","ACA1_011150","eIF4gamma/eIF5/eIF2-epsilon domain containing protein",43.45,36.48,38.53,39.92
"ACA1_011160","ACA1_011160","replication protein A2 family protein, putative",158.22,18.03,28.3,36.55
"ACA1_011260","ACA1_011260","myosin I heavy chain kinase",41.07,59.21,58.27,54.08
"ACA1_012020","ACA1_012020","hypothetical protein",56.83,76.44,98.25,110.81
"ACA1_012040","ACA1_012040","LIM domain containing protein",88.61,110.06,79.21,69.5
"ACA1_012260","ACA1_012260","hypothetical protein",79.38,45.46,68.4,73.64
"ACA1_012270","ACA1_012270","aldehyde dehydrogenase",121.72,98.09,116.14,130.41
"ACA1_012310","ACA1_012310","biogenesis of lysosome related family protein",83.76,75.13,82.26,84.01
"ACA1_012630","ACA1_012630","hypothetical protein",95.28,94.15,84.76,74.41
"ACA1_012740","ACA1_012740","Gprotein-coupled receptor (GPCR) family protein",46.64,41.09,39.56,35
"ACA1_012960","ACA1_012960","hypothetical protein",41.74,30.09,35.44,36.17
"ACA1_013000","ACA1_013000","hypothetical protein",84.05,235.81,266.96,276.99
"ACA1_013340","ACA1_013340","PH domain containing protein",54.7,40.56,61.12,52.32
"ACA1_013390","ACA1_013390","glucan (1,4alpha-), branching enzyme 1, putative",544.26,874.63,96.63,54.09
"ACA1_013620","ACA1_013620","protein phosphatase 3, catalytic subunit, beta isoform, putative",92.74,133.61,123.86,129.11
"ACA1_013630","ACA1_013630","calcineurin subunit a, putative",91.59,135.98,132.75,132.92
"ACA1_013640","ACA1_013640","hydrolase, NUDIX, putative",50.14,42.33,39.18,29.72
"ACA1_013670","ACA1_013670","copper chaperone Atox1, putative",274.14,510.26,277.98,186.72
"ACA1_014100","ACA1_014100","succinateCoA ligase, GDP-forming, beta subunit, putative",573.89,262.92,299.39,398.62
"ACA1_014250","ACA1_014250","cytochrome b5 family protein",370.66,66.79,94.14,118.67
"ACA1_014360","ACA1_014360","calcium/calmodulindependent protein kinase",111.92,102.57,115.29,124.58
"ACA1_014380","ACA1_014380","nuclear movement protein nudC, putative",152.93,181.52,178.54,178.51
"ACA1_014390","ACA1_014390","hypothetical protein",116.46,23.26,23.63,24.12
"ACA1_014740","ACA1_014740","cyclin, Nterminal domain containing protein",50.86,15.02,18.04,15.93
"ACA1_014870","ACA1_014870","tRNA phosphotransferase 1 isoform 1, putative",67.48,130.99,79.16,78.49
"ACA1_015350","ACA1_015350","dihydrodipicolinate synthetase, putative",43.39,36.22,30.33,33.25
"ACA1_015500","ACA1_015500","aldehyde dehydrogenase",118.55,46.11,40.98,40.94
"ACA1_015560","ACA1_015560","hypothetical protein",72.98,63.99,78.4,82.61
"ACA1_016360","ACA1_016360","hypothetical protein",51.59,16.45,8.24,6.51
"ACA1_016470","ACA1_016470","hypothetical protein",133.43,217.75,160.16,127.74
"ACA1_017320","ACA1_017320","hypothetical protein",395.28,203.61,203.81,199.69
"ACA1_017740","ACA1_017740","Exonuclease ii, putative",76.81,51.85,48.18,50.79
"ACA1_018120","ACA1_018120","hypothetical protein",59.42,84.93,10.64,2.33
"ACA1_018760","ACA1_018760","cell cycle control protein",43.18,26.97,30.37,36.75
"ACA1_018770","ACA1_018770","signal recognition particle 68 kDa protein",75.39,95.95,72.54,75.75
"ACA1_018780","ACA1_018780","ATPase, AAA domain containing protein",173.89,97.55,80.13,118.16
"ACA1_018970","ACA1_018970","hypothetical protein",170.14,443.53,558.67,627.09
"ACA1_019010","ACA1_019010","hypothetical protein",85.58,794.84,965.25,971.72
"ACA1_019340","ACA1_019340","phosphorylase kinase alpha subunit",104.82,57.08,6.54,7.85
"ACA1_019640","ACA1_019640","DSS1/SEM1 family protein",141.37,373.24,211.04,152.42
"ACA1_019960","ACA1_019960","SWIRM domain containing protein",42.73,29.94,31.41,29.59
"ACA1_020090","ACA1_020090","cleavage stimulation factor 64kDa subunit",88.41,48.28,34.64,36.38
"ACA1_020860","ACA1_020860","mitochondrial ribosomal protein, L38, putative",197.98,56.29,54.52,65.17
"ACA1_022200","ACA1_022200","hypothetical protein",171.48,175.61,30.39,5.69
"ACA1_022220","ACA1_022220","AcetylCoA carboxylase, carboxyltransferase component, putative",203.97,78.53,107.11,153.24
"ACA1_022330","ACA1_022330","carbamoylphosphate synthase L chain, ATP-binding, putative",168.24,53.59,91.57,112.88
"ACA1_022710","ACA1_022710","H(+)-transporting atpase family protein",1266.07,488.98,1432.18,1576.29
"ACA1_023090","ACA1_023090","hypothetical protein",42.26,57.52,93.04,116.3
"ACA1_023390","ACA1_023390","ALG3 protein",42.28,81.91,107.86,110.43
"ACA1_023810","ACA1_023810","eukaryotic initiation factor 5a, putative",4378.45,4789.28,7155.05,8576.83
"ACA1_023820","ACA1_023820","nuclease domain containing protein",116.9,76.92,49.61,53.72
"ACA1_023870","ACA1_023870","peptidase, putative",45.85,15.59,20.68,21.11
"ACA1_023880","ACA1_023880","Mitochondrial 39S ribosomal protein L47",258.61,78.92,106.58,139.47
"ACA1_024220","ACA1_024220","purinergic receptor, putative",107.33,50.06,65.56,75.32
"ACA1_024230","ACA1_024230","subtilisin, putative",468.05,496.23,772.06,1120.66
"ACA1_024240","ACA1_024240","Yip1 domain containing protein",49.55,70.42,65.62,83.3
"ACA1_024380","ACA1_024380","myosin1, putative",59.17,78,56.8,44.61
"ACA1_024390","ACA1_024390","hypothetical protein",44.97,42,48.17,46.6
"ACA1_025520","ACA1_025520","talin, putative",63.73,87.73,80.35,111.65
"ACA1_025570","ACA1_025570","hypothetical protein",85.37,55.95,62.12,54.88
"ACA1_025670","ACA1_025670","DOMON domain containing protein",55.92,12.52,14.33,14.48
"ACA1_025680","ACA1_025680","hypothetical protein",143.46,57.14,56.11,67.77
"ACA1_025690","ACA1_025690","Fibrillarin, putative",1973.11,134.67,35.02,35.5
"ACA1_025730","ACA1_025730","hypothetical protein",235.53,609.99,588.1,597.36
"ACA1_026390","ACA1_026390","EFhand domain containing protein",70.66,225.38,311.32,328.29
"ACA1_026700","ACA1_026700","serine/threonine protein kinase",39.71,43.88,48.81,49.7
"ACA1_026720","ACA1_026720","RasGEF domain containing protein",43.57,33.78,35.21,27.93
"ACA1_026820","ACA1_026820","hypothetical protein",48.35,197.46,187.74,240.4
"ACA1_026840","ACA1_026840","Ser/Thr phosphatase, putative",82.22,28,28.96,35.56
"ACA1_027270","ACA1_027270","hypothetical protein",42.45,50.58,43.05,33.38
"ACA1_027280","ACA1_027280","hypothetical protein",68.17,9.93,13.97,13.91
"ACA1_027390","ACA1_027390","hypothetical protein",122.88,15.95,16.53,6.06
"ACA1_027490","ACA1_027490","calciumtranslocating P-type ATPase, PMCA-type, putative",49,62.87,72.13,54.45
"ACA1_027500","ACA1_027500","hypothetical protein",39.92,27.58,33.22,30.66
"ACA1_027630","ACA1_027630","hypothetical protein",217.56,304.23,271.91,261.23
"ACA1_027750","ACA1_027750","peroxiredoxin, putative",253.66,324.61,267.47,205.1
