"","Trophozoites","Cyst_8h","Cyst_24h","Cyst_48h","Cyst_72h","Excyst_2h","Excyst_8h"
"EIN_377620",0.526068811667588,1.29865831556452,5.35755200461808,7.26922020578009,8.23921662393843,9.88988417030283,5.877744249949
"EIN_371160",8.40854204229686,5.98800293750806,6.68341574703043,6.09148827976428,6.35614381022528,6.64226835175864,4.8569856897822
"EIN_409300",9.96493284338808,9.99767346999942,7.85143673596167,7.16540952031982,7.58157721553652,9.70984201927331,9.24935052362723
"EIN_162170",4.71644223684332,4.65821148275179,12.1345514596035,11.5462723081766,8.66941659209916,6.90665012639538,5.28466218548316
"EIN_309600",7.4966540825935,6.46532151358055,7.15623479785027,6.4820415419856,6.84473714406068,8.44898352061379,8.9579726209154
"EIN_391640",5.18388345903223,4.65477921695952,5.74685018309805,5.74819284958946,5.7599547420113,6.38059093426592,3.91456452349394
"EIN_281330",0,2.22342254993494,0.298658315564515,0.613531652917927,5.71232064074163,6.68622036502273,6.6891593577313
"EIN_475930",6.02967373462642,5.61176256006487,4.92789645372882,6.04264433740849,6.25247621413522,4.99276843076892,3.41142624572647
"EIN_496850",5.50175758573866,5.61028665708102,5.44989147301094,3.39094277280254,4.89530262133331,5.03694284479826,5.55949181320504
"EIN_398110",4.17712050284652,6.10873352786627,6.97659276223859,7.36045207176887,6.13072499111887,3.55336050333533,1.98913900736823
"EIN_056880",10.9766357194075,10.7015750468435,10.8078378864233,9.92542091950112,9.61321853407983,10.2222515262691,9.9125151448024
"EIN_335410",0.443606651475615,2.60169651648096,6.98128185405741,7.46515822966425,7.81794296832513,8.48659371440801,5.78188423454149
"EIN_371050",3.51349074558812,3.05658352836637,7.48066904597033,6.18527190559382,4.88068552526112,6.51806297565252,5.65277328451078
"EIN_308160",0.0703893278913977,1.47508488294878,3.77082904603249,0,2.34482849699744,2.38404980679516,0.678071905112638
"EIN_057320",8.27961058105248,7.71128839926024,6.10915157917052,6.04395687279021,2.1243281350022,8.75318331437575,5.34943605171382
"EIN_184550",14.403151198575,13.5650818423969,13.3446301860176,11.4546077485349,9.47542946038392,10.6586577921261,8.09676785471469
"EIN_416970",9.72299532540154,9.59083028538255,7.45310598038788,4.35049724708413,4.85249829878989,10.3769935674525,11.0582150119345
"EIN_371410",7.43512849755131,7.80070580232947,7.4758955224267,8.69540230935265,8.91456452349394,8.04308198189566,8.86502179885731
"EIN_056970",3.61823865559545,1.94860084749336,3.92124588858559,3.34624777408278,4.12018602753186,1.26303440583379,0.0426443374084934
"EIN_476210",7.46360611005151,7.91444493174679,7.14108531856233,3.92124588858559,6.17032569441556,4.98048235553826,5.87528859822269
"EIN_428080",3.10097764772482,3.69710657447697,3.63575439127776,2.82781902461732,4.63691458035588,7.52183596254539,4.49505552836802
