	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1.1	EhMyb10_2.1	EhMyb10_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_188960A	3332.298113	-1.902031845	0.385541659	-4.933401617	8.08E-07	0.00167511	1658	1348	485	7493	6979	8726	1486.419385	1213.077951	1520.890763	4429.40087	6553.390656	4790.609051	99.83	UP_pEhEx_DOWN_EhMyb10
EHI_103400A	32.13805365	3.178477485	0.647934782	4.905551563	9.32E-07	0.00167511	26	68	28	7	4	23	23.30935103	61.19384323	87.80400281	4.137969584	3.756062849	12.62709239	99.83	DOWN_pEhEx_UP_EhMyb10
EHI_181610A	169.3491047	2.133143362	0.443476822	4.810044757	1.51E-06	0.001808746	262	481	50	139	82	59	234.8865373	432.8564499	156.7928622	82.16825316	76.99928841	32.391237	99.82	DOWN_pEhEx_UP_EhMyb10
EHI_057550A	555.5126223	2.011309239	0.443616095	4.533896	5.79E-06	0.005205709	508	777	500	341	156	478	455.4288585	699.2296499	1567.928622	201.5782326	146.4864511	262.4239201	99.48	DOWN_pEhEx_UP_EhMyb10
EHI_126980A	43.78270824	-2.963541573	0.715726764	-4.140604661	3.46E-05	0.024912478	6	14	4	61	127	140	5.379081006	12.59873243	12.54342897	36.05944923	119.2549955	76.86056236	97.51	UP_pEhEx_DOWN_EhMyb10
EHI_018630A	74.59551265	4.307732659	1.083477501	3.975839512	7.01E-05	0.037026865	11	33	100	0	0	172	9.861648511	29.69701216	313.5857243	0	0	94.42869091	96.3	DOWN_pEhEx_UP_EhMyb10
EHI_178340A	1630.095271	-2.673765561	0.673607254	-3.969324178	7.21E-05	0.037026865	301	366	294	1876	4864	4705	269.8505638	329.3668621	921.9420295	1108.975848	4567.372424	2583.063899	96.3	UP_pEhEx_DOWN_EhMyb10
EHI_000640A	134.5245234	2.704687922	0.700224322	3.862602076	0.000112186	0.045404011	5	8	216	2	0	213	4.482567505	7.199275674	677.3451645	1.182277024	0	116.9378556	95.46	DOWN_pEhEx_UP_EhMyb10
EHI_050640A	19.82913593	3.912979896	1.020122905	3.835792604	0.00012516	0.045404011	18	58	13	4	8	0	16.13724302	52.19474864	40.76614416	2.364554048	7.512125698	0	95.46	DOWN_pEhEx_UP_EhMyb10
EHI_033240A	6.103839559	-5.599162352	1.466877554	-3.817061853	0.00013505	NA	0	0	0	12	18	23	0	0	0	7.093662143	16.90228282	12.62709239	NA	UP_pEhEx_DOWN_EhMyb10
EHI_152800A	398.2380109	-2.337048901	0.615454955	-3.79727043	0.000146298	0.045404011	191	106	29	755	1419	461	171.2340787	95.39040268	90.93986006	446.3095765	1332.463296	253.0908518	95.46	UP_pEhEx_DOWN_EhMyb10
EHI_004430A	20.91092683	-5.516612853	1.46012609	-3.778175659	0.000157981	0.045404011	0	0	3	79	61	22	0	0	9.40757173	46.69994244	57.27995845	12.07808837	95.46	UP_pEhEx_DOWN_EhMyb10
EHI_049360A	464.9977025	2.626714313	0.696993164	3.768637123	0.000164141	0.045404011	13	8	819	5	3	359	11.65467551	7.199275674	2568.267082	2.95569256	2.817047137	197.0924421	95.46	DOWN_pEhEx_UP_EhMyb10
EHI_025380A	42.04401163	2.611177961	0.730445627	3.574773898	0.000350531	0.088544053	5	8	66	3	0	58	4.482567505	7.199275674	206.9665781	1.773415536	0	31.84223298	91.15	DOWN_pEhEx_UP_EhMyb10
EHI_155680A	252.0346009	-2.144397986	0.602177674	-3.561071888	0.000369344	0.088544053	74	67	59	550	623	529	66.34199907	60.29393377	185.0155774	325.1261816	585.0067887	290.4231249	91.15	UP_pEhEx_DOWN_EhMyb10
EHI_017750A	748.1315721	-1.526000515	0.436631502	-3.494939114	0.00047417	0.096425676	198	230	306	950	880	3200	177.5096732	206.9791756	959.5723164	561.5815864	826.3338268	1756.812854	90.36	UP_pEhEx_DOWN_EhMyb10
EHI_178640A	109.9013145	3.629796897	1.041289078	3.485868598	0.000490542	0.096425676	19	14	128	0	0	416	17.03375652	12.59873243	401.3897271	0	0	228.385671	90.36	DOWN_pEhEx_UP_EhMyb10
EHI_134840A	51.36353383	-1.889362112	0.542123025	-3.485116895	0.000491922	0.096425676	22	20	8	69	91	217	19.72329702	17.99818919	25.08685795	40.78855732	85.45042982	119.1338717	90.36	UP_pEhEx_DOWN_EhMyb10
EHI_178770A	34.77121529	2.444628633	0.703344042	3.475722389	0.000509479	0.096425676	6	9	54	4	1	41	5.379081006	8.099185133	169.3362911	2.364554048	0.939015712	22.50916469	90.36	DOWN_pEhEx_UP_EhMyb10
EHI_189880A	132.1517973	2.478855671	0.716844936	3.458008207	0.000544185	0.097840934	4	10	221	4	1	153	3.586054004	8.999094593	693.0244508	2.364554048	0.939015712	83.99761458	90.22	DOWN_pEhEx_UP_EhMyb10
EHI_048140A	567.1881232	-2.176193976	0.632843369	-3.438756071	0.000584394	0.097840934	288	190	14	1320	2204	146	258.1958883	170.9827973	43.90200141	780.3028358	2069.59063	80.15458647	90.22	UP_pEhEx_DOWN_EhMyb10
EHI_195110A	353.7987613	13.19693258	3.844973102	3.43225615	0.000598582	0.097840934	31	2303	0	0	0	41	27.79191853	2072.491485	0	0	0	22.50916469	90.22	DOWN_pEhEx_UP_EhMyb10
EHI_087760A	183.5310946	2.030294789	0.594479771	3.415246216	0.000637244	0.099631684	22	20	295	16	4	228	19.72329702	17.99818919	925.0778868	9.458216191	3.756062849	125.1729159	90.04	DOWN_pEhEx_UP_EhMyb10
EHI_166970A	16.06704275	2.790514838	0.82144481	3.397081342	0.000681087	NA	4	8	24	2	1	15	3.586054004	7.199275674	75.26057384	1.182277024	0.939015712	8.235060253	NA	DOWN_pEhEx_UP_EhMyb10
EHI_049530A	104.0491082	2.904486098	0.866712266	3.351153794	0.000804756	0.120579267	3	10	178	0	3	94	2.689540503	8.999094593	558.1825893	0	2.817047137	51.60637759	87.94	DOWN_pEhEx_UP_EhMyb10
EHI_073540A	24.87063231	2.988251417	0.899416756	3.322432453	0.000892363	0.128357456	28	114	1	20	7	0	25.10237803	102.5896784	3.135857243	11.82277024	6.573109986	0	87.16	DOWN_pEhEx_UP_EhMyb10
EHI_009490A	59.00487533	-2.554312039	0.77317121	-3.303682297	0.000954239	0.131978602	53	17	0	174	124	131	47.51521555	15.29846081	0	102.8581011	116.4379483	71.91952621	86.8	UP_pEhEx_DOWN_EhMyb10
EHI_100350A	22.03118751	-2.913358151	0.900716603	-3.234489231	0.001218605	0.149903673	3	14	0	41	56	73	2.689540503	12.59873243	0	24.23667899	52.58487989	40.07729323	85.01	UP_pEhEx_DOWN_EhMyb10
EHI_098440A	609.4823037	1.935994661	0.599007461	3.232004252	0.001229252	0.149903673	763	1934	85	726	540	54	684.0398013	1740.424894	266.5478657	429.1665597	507.0684846	29.64621691	85.01	DOWN_pEhEx_UP_EhMyb10
EHI_172280A	69.63371865	-2.514932948	0.782346853	-3.214600965	0.00130626	0.149903673	17	12	14	135	227	100	15.24072952	10.79891351	43.90200141	79.80369911	213.1565667	54.90040169	85.01	UP_pEhEx_DOWN_EhMyb10
EHI_036560A	70.06924792	-2.395896645	0.746717443	-3.208571953	0.001333959	0.149903673	60	34	0	225	125	156	53.79081006	30.59692162	0	133.0061652	117.376964	85.64462663	85.01	UP_pEhEx_DOWN_EhMyb10
EHI_194060A	111.9289554	2.054988441	0.649566359	3.163631262	0.001558141	0.160083382	8	8	182	5	3	147	7.172108008	7.199275674	570.7260183	2.95569256	2.817047137	80.70359048	83.99	DOWN_pEhEx_UP_EhMyb10
EHI_177460A	43.83291523	-2.21401041	0.703434606	-3.147428903	0.001647132	0.160083382	39	21	0	181	62	80	34.96402654	18.89809864	0	106.9960707	58.21897416	43.92032135	83.99	UP_pEhEx_DOWN_EhMyb10
EHI_058320A	54.96804782	-1.814207152	0.5875807	-3.087588055	0.00201788	0.165656161	18	14	18	76	101	191	16.13724302	12.59873243	56.44543038	44.92652691	94.84058694	104.8597672	83.43	UP_pEhEx_DOWN_EhMyb10
EHI_127960A	63.48870728	2.36676826	0.76662871	3.087241882	0.002020231	0.165656161	7	11	107	5	4	41	6.275594507	9.899004052	335.536725	2.95569256	3.756062849	22.50916469	83.43	DOWN_pEhEx_UP_EhMyb10
